Depot ID,Depot Name,Latitude,Longitude,Capacity,Operator,AC / Non-AC,BRT / Non-BRT,Fuel Type,Service Type,Bus Type
1,PAL DEPOT,21.18460797,72.7903654,28,Adinath,Non - AC,BRT,DIESEL,Day service,12
2,KOSAD DEPOT,21.24719502,72.8535517,63,Chartered SPL,Non - AC,CBS,DIESEL,Day service,12
3,LP SAWANI DEPOT,21.20103798,72.77570871,76,Chartered SPL,Non - AC,CBS,DIESEL,Day service,12
4,OLECTRA PALANPUR DEPOT,21.20455967,72.77474436,72,EVEY TRANS(SMC) PVT LTD,Non - AC,BRT,E-BUS,Day service,12
5,OLECTRA ALTHAN DEPOT,21.15078778,72.80946108,72,EVEY TRANS(SMC) PVT LTD 2,Non - AC,BRT,E-BUS,Day service,12
6,GREENCELL MAGOB DEPOT,21.17989515,72.87771692,71,GREENCELL 1,AC,BRT,E-BUS,Day service,12
7,HANSA KOSAD DEPOT,21.25819505,72.84828542,0,Hansa City Bus,Non - AC,CBS,DIESEL,Day service,9
8,HANSA PUNA DEPOT,21.21509807,72.88120791,30,Hansa City Bus,Non - AC,CBS,DIESEL,Day service,9
9,VIP ROAD DEPOT,21.1378239,72.76298164,50,Hansa City Bus,Non - AC,CBS,DIESEL,Day service,9
10,BHESTAN GARDEN,21.12488142,72.85197601,67,Maruti,Non - AC,CBS,DIESEL,Day service,9
