Terminal ID,Terminal Name,Latitude,Longitude,Terminal Area
1,UDHNA DARWAZA,21.182516,72.831382,100
2,SACHIN G.I.D.C.,21.103452,72.865027,100
3,SARTHANA NATURE PARK BRT,21.229727,72.899562,100
4,KHARWAR NAGAR,21.177901,72.834178,100
5,ONGC COLONY,21.13884,72.751748,100
6,SANJEEVKUMAR AUDITORIUM,21.183125,72.786039,100
7,JAHANGIRPURA COMMUNITY HALL,21.228113,72.790158,100
8,KADODARA,21.17316,72.958438,100
9,AMAZIA AMUSEMENT PARK BRT,21.192617,72.86656,100
10,KOSAD EWS H2,21.255512,72.85406,100
11,ALTHAN DEPOT/TERMINAL,21.148815,72.808763,100
12,PANDESARA G.I.D.C.,21.144149,72.847995,100
13,PARVAT GAM,21.180797,72.866743,100
14,KOSAD DEPOT TERMINAL,21.257428,72.8476,100
15,KAMREJ TERMINAL,21.268535,72.956475,100
16,RAILWAY STATION TER,21.204733,72.840269,100
17,PAL R.T.O.,21.182332,72.78094,100
18,SACHIN RAILWAY STATION,21.078932,72.874206,100
19,UTRAN-R.O.B BRIDGE,21.233142,72.863284,100
20,ADAJAN GSRTC,21.198617,72.808339,100
21,MOTI VED,21.247717,72.813321,100
22,LAMBE HANUMAN TEMPLE,21.204553,72.843553,100
23,KATHOR GAAM,21.289928,72.937562,100
24,HARIDARSHAN RESIDENCY,21.325451,72.903202,100
25,RAMVATIKA SOCIETY,21.31169,72.908634,100
26,VRUKSHLAXMI SOCIETY,21.142013,72.882566,100
27,CHIKU WADI,21.151202,72.837255,100
28,ABHVA GAAM,21.116789,72.770046,100
29,ISKCON CIRCLE,21.237125,72.789451,100
30,EKTA NAGAR,21.204323,72.782368,100
31,VIVEKANAND COLLEGE,21.248605,72.784978,100
32,KOSAD GAM,21.254171,72.862777,100
33,BHARTHANA,21.152835,72.797525,100
34,KHAJOD GAM (VIA BHIMRAD GAAM),21.117303,72.790012,100
35,KHAJOD GAM,21.117303,72.790012,100
36,PALANPUR DEPOT TERMINAL,21.20493,72.775115,100
37,AMROLI CROSS ROAD,21.241503,72.851484,100
38,KOSAD FIRE STATION,21.247589,72.851312,100
39,SAYAN RAILWAY STATION,21.316645,72.889057,100
40,SOMESHWAR JUNCTION,21.153743,72.779742,100
41,RANDER GAAM,21.218675,72.795963,100
42,SURAT AIRPORT,21.123688,72.738732,100
43,KAVI SHREE AMRUT GHAYAL SCHOOL VARIAV,21.260465,72.820787,100
44,GREEN CITY BHATHA,21.188631,72.765808,100
45,UMRA HEALTH CENTRE,21.171952,72.779688,100
46,KAPODARA,21.219189,72.875916,100
47,MAKKAIPOOL TERMINAL,21.192449,72.81622,100
48,SMC NORTH ZONE,21.231699,72.838223,100
49,RAJ EMPIRE GODADARA,21.174978,72.872079,100
50,CHOWK,21.193478,72.817846,100
51,GABHENI GAAM,21.086595,72.828711,100
52,LAJPORE JAIL,21.073492,72.889242,100
53,UNN INDUSTRIAL ESTATE,21.115826,72.859686,100
54,DUMAS LANGAR,21.084347,72.719351,100
55,VAISHNODEVI SKY D,21.241879,72.773521,100
56,DR S.P MUKHER BRID,21.233518,72.804304,100
57,variav gaam,21.259901,72.817796,100
58,PURUSHOTTAM NAGAR ,21.233469,72.905706,100
59,BHIMPORE,21.080944,72.723869,100
60,BHESAN GAAM,21.215558,72.754277,100
61,MAKKAI POOL U,21.192293,72.815777,100
62,SARVODAY VIDHYALAY SEGVACHHAMA,21.220116,72.739943,100
63,V.N.S.G. UNIVERSITY,21.155067,72.783131,100
64,SUMAN DARSHAN,21.223193,72.808139,100
65,MANGAL PANDEY HALL GODADARA,21.166307,72.870658,100
66,DABHOLI GAAM APPROACH,21.236603,72.807822,100
67,KHARWARNAGAR BRT,21.177901,72.834178,100
68,BHESTAN GARDEN TERMINAL,21.125847,72.85233,100
69,VINDESHWAR MAHADEV TEMPLE,21.137532,72.817753,100
70,UTRAN RAILWAY STATION,21.232961,72.853939,100
71,MAGOB GAM,21.19016,72.868282,100
72,SMC WARD OFFICE LIMBAYAT,21.165783,72.857522,100
73,ROYAL TOWNSHIP,21.246464,72.909711,100
74,UTRAN LAKE GARDEN,21.23088,72.85648,100
75,AMEZIA AMUZEMENT PARK,21.192617,72.86656,100
76,BAMROLI,21.1389,72.8262,100
77,BUDIYA GAAM U,21.101126,72.819533,100
78,BUDIYA GAAM D,21.112388,72.829215,100
79,BUDIYA GAAM CHOKDI,21.112388,72.829215,100
80,SUNRISE VIDYALAY DINDOLI,21.158775,72.878728,100
81,VESU GAAM,21.142237,72.777551,100
82,ADAJAN G.S.R.T.C.,21.198617,72.808339,100
83,PAL PATIYA,21.183238,72.779908,100
84,MORA CHAR RASTA,21.178537,72.659226,100
85,SAI PUJAN RESIDENCY,21.242961,72.784667,100
86,GAIL INDIA LTD VIP ROAD D,21.136884,72.758699,100
87,SHREE GYANJYOT VIDHYALAY,21.236575,72.938701,100
88,SATYAM RESIDENCY PUNA GAAM,21.214186,72.881542,100
